HedgeDt,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
2024-01-01,IUL21,NASIDX,0.0535,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL21,INDEX,0.0549,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL21,INXFEE,0.0381,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2024-01-01,IUL21,INXHIM,0.0611,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2024-01-01,IUL21,INXLOM,0.0611,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2024-01-01,IUL23,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL23,NASIDX,0.0525,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL23,INDEX,0.054,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL23,INXFEE,0.0381,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2024-01-01,IUL23,INXHIM,0.0611,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2024-01-01,IUL23,INXLOM,0.0611,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2024-01-01,GIUL21,INDEX,0.0508,1.0,0.0925,0.0,0.0,0.0,0.0,0.0
2024-01-01,GIUL21,INXFEE,0.0336,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2024-01-01,GIUL21,MARPRT,0.0222,2.2,9.9999,0.0,0.0,0.0,0.0,0.0
2024-01-01,GIUL21,NASIDX,0.0492,1.0,0.0925,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL14NY,INDEX,0.0476,1.0,0.085,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL14NY,INX150,0.0309,1.0,0.07,0.015,0.0,0.0,0.0,0.0
2024-01-01,IUL14NY,INXFEE,0.0392,1.0,9.9999,0.0,0.0,0.0775,0.0,0.0
2024-01-01,IUL14NY,INXSPC,0.0468,1.0,9.9999,0.0,0.065,0.0,0.0,0.0
2024-01-01,IUL14BNY,INDEX,0.0441,1.0,0.0775,0.0,0.0,0.0,0.0,0.0
2024-01-01,IUL14BNY,INX150,0.0246,1.0,0.0575,0.015,0.0,0.0,0.0,0.0
2024-01-01,IUL14BNY,INXFEE,0.0349,1.0,9.9999,0.0,0.0,0.087,0.0,0.0
2024-01-01,IUL14BNY,INXSPC,0.041,1.0,9.9999,0.0,0.057,0.0,0.0,0.0
2024-02-01,IUL08,INDEX,0.0517,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2024-02-01,IUL14,INDEX,0.0517,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2024-02-01,IUL14,INX150,0.037,1.0,0.085,0.015,0.0,0.0,0.0,0.0
